summary_nr,rel_insp_nr,age,sex,nature_of_inj,part_of_body,src_of_injury,event_type,evn_factor,hum_factor,occ_code,degree_of_inj,task_assigned,hazsub,const_op,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,load_dt
221204233,344355672,0,,12,13,43,5,18,14,7016,1,2,,66,,,,,1,2020-07-27 00:19:05 EDT
221204241,344354873,0,,10,12,15,13,13,1,889,1,2,,12,,12,,,1,2020-07-27 00:19:05 EDT
221204258,344332234,0,,10,4,25,13,18,1,7048,1,2,,13,,10,,,1,2020-07-27 00:19:05 EDT
221204308,344242714,0,,10,31,15,13,18,14,869,1,2,,29,,9,,,1,2020-07-27 00:19:05 EDT
221204324,344356183,0,,21,28,43,8,18,14,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204415,344357462,0,,21,4,27,1,8,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204514,344358759,0,,21,13,42,5,18,14,805,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204530,344358668,0,,21,4,27,1,8,1,806,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204605,344359435,0,,21,31,43,12,18,14,806,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204613,344359534,0,,10,4,15,14,18,1,575,1,2,,29,,11,,,1,2020-07-27 00:19:05 EDT
221204647,344359526,0,,21,13,27,1,6,9,7037,1,2,,35,,26,,,1,2020-07-27 00:19:05 EDT
221204654,344359641,0,,21,20,29,1,13,17,7020,1,2,,11,,25,,,1,2020-07-24 00:19:12 EDT
221204654,344359641,0,,20,24,29,1,13,17,869,3,2,,11,,25,,,3,2020-07-24 00:19:12 EDT
221204654,344359641,0,,20,24,29,1,13,17,869,3,2,,11,,25,,,2,2020-07-19 00:19:11 EDT
221204654,344359641,0,,7,16,29,1,13,17,633,2,2,,11,,25,,,3,2020-07-19 00:19:11 EDT
221204654,344359641,0,,7,16,29,1,13,17,633,2,2,,11,,25,,,1,2020-07-17 00:19:00 EDT
221204654,344359641,0,,21,20,29,1,13,17,7020,1,2,,11,,25,,,2,2020-07-17 00:19:00 EDT
221204654,344359641,0,,7,16,29,1,13,17,633,2,2,,11,,25,,,2,2020-07-27 00:19:05 EDT
221204654,344359641,0,,20,24,29,1,13,17,869,3,2,,11,,25,,,1,2020-07-27 00:19:05 EDT
221204654,344359641,0,,21,20,29,1,13,17,7020,1,2,,11,,25,,,3,2020-07-27 00:19:05 EDT
221204712,344360037,0,,7,13,43,4,18,14,156,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204787,344360334,0,,21,5,29,1,18,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204795,344360888,0,,7,19,42,5,8,20,876,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204829,344361050,0,,21,19,30,1,8,18,514,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204886,344345509,0,,21,16,30,6,1,1,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204910,344361647,0,,21,31,43,14,18,14,804,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204944,344361670,0,,1,16,38,2,13,1,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204977,344357769,0,,10,4,15,13,18,14,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221204985,344362181,0,,21,19,8,1,6,4,869,1,2,,14,,3,,,1,2020-07-27 00:19:05 EDT
221205156,344360482,0,,3,31,42,4,13,14,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221205172,344363999,0,,21,19,27,1,8,13,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221205339,344364740,0,,21,31,43,12,18,14,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221205503,344365523,0,,21,31,10,8,7,18,764,1,2,,29,,1,,,1,2020-07-27 00:19:05 EDT
221205669,344367115,0,,21,31,42,14,13,1,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221205792,344367792,0,,21,4,41,4,18,14,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221205800,344367842,0,,21,31,43,14,18,14,9991,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221205859,344176466,0,,6,13,43,5,5,14,865,1,2,,14,,14,,,1,2020-07-27 00:19:05 EDT
221205909,344368295,0,,21,13,43,5,18,14,599,1,2,,12,,14,,,1,2020-07-27 00:19:05 EDT
221205925,344368238,0,,12,5,30,2,13,6,579,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206055,344369152,0,,21,4,43,14,18,14,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206121,344369558,0,,21,13,43,5,18,20,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206121,344369541,0,,21,13,43,5,18,20,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206220,344370796,0,,7,13,27,2,8,9,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206246,344370879,0,,21,19,29,1,18,14,889,1,2,,70,,,,,1,2020-07-27 00:19:05 EDT
221206329,344371307,0,,21,5,13,14,18,14,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206378,344371505,0,,21,31,43,14,18,14,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206550,344372719,0,,9,22,29,1,5,5,7010,1,2,,51,,26,,,1,2020-07-27 00:19:05 EDT
221206584,344307590,0,,21,19,30,1,8,12,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206634,344373840,0,,5,19,26,14,8,14,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206824,344354139,0,,5,19,16,14,17,20,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221206923,344376314,0,,7,18,29,1,8,14,594,1,2,,51,,,,,1,2020-07-27 00:19:05 EDT
221206998,344376900,0,,21,4,43,14,18,14,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207004,344377023,0,,12,20,26,2,1,1,563,1,2,,42,,5,,,1,2020-07-27 00:19:05 EDT
221207046,344377056,0,,3,13,30,5,8,1,856,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207053,344377163,0,,6,13,25,5,8,14,595,1,2,,21,,16,,,1,2020-07-27 00:19:05 EDT
221207087,344365507,0,,21,19,43,14,18,14,7031,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207111,343946323,0,,2,20,26,6,18,6,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207145,344378047,0,,5,31,15,13,17,1,567,1,2,,14,,9,,,1,2020-07-27 00:19:05 EDT
221207145,344379482,0,,5,31,15,13,17,1,567,1,2,,14,,9,,,1,2020-07-27 00:19:05 EDT
221207178,344378286,0,,5,5,48,14,18,14,779,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207392,344311998,0,,21,4,41,14,18,14,567,1,2,,14,,,,,1,2020-07-27 00:19:05 EDT
221207525,344379904,0,,10,13,26,13,17,8,235,1,2,,24,,9,,,1,2020-07-27 00:19:05 EDT
221207582,344380209,0,,6,13,42,5,8,14,,1,2,,65,,18,,,1,2020-07-27 00:19:05 EDT
